Compound ChEMBL ID,Bioactivity Type,Bioactivity Value (nM),Molecular Formula,SMILES
CHEMBL4164907,EC50,87.1,C27H20N2O4S,O=C(c1ccccc1)c1sc(NC(=O)C2(c3ccc4c(c3)OCO4)CC2)nc1-c1ccccc1
CHEMBL4160001,EC50,3800.0,C21H15BrF2N2O3S,Cc1sc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1ccc(Br)cc1
CHEMBL4160001,EC50,3801.89,C21H15BrF2N2O3S,Cc1sc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1ccc(Br)cc1
CHEMBL3354673,EC50,100.0,C18H13N3O2,O=C(Nc1ccc2cc[nH]c2c1)c1c[nH]c2ccccc2c1=O
CHEMBL3354673,EC50,100.0,C18H13N3O2,O=C(Nc1ccc2cc[nH]c2c1)c1c[nH]c2ccccc2c1=O
CHEMBL1949981,EC50,1400.0,C22H19ClFN5OS2,Cc1nc(NC(=O)c2ccc([19F])cc2)sc1-c1csc(Nc2cc(N(C)C)ccc2Cl)n1
CHEMBL2069648,EC50,1600.0,C22H24ClN7O3S2,COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)C(C)(C)C)nc2C)c(-n2cc(CO)nn2)s1
CHEMBL2069648,EC50,1600.0,C22H24ClN7O3S2,COc1ccc(Cl)cc1Nc1nc(-c2sc(NC(=O)C(C)(C)C)nc2C)c(-n2cc(CO)nn2)s1
CHEMBL4064125,EC50,63.0,C21H14BrN3O3,O=c1c(-c2cccc([N+](=O)[O-])c2)nc2cc(Br)ccc2n1Cc1ccccc1
CHEMBL3357139,EC50,100.0,C20H20N2O2,CC(C)(C)c1ccc(NC(=O)c2c[nH]c3ccccc3c2=O)cc1
CHEMBL4061323,EC50,760.0,C21H14ClN3O3,O=c1c(-c2cccc([N+](=O)[O-])c2)nc2ccc(Cl)cc2n1Cc1ccccc1
CHEMBL1098233,EC50,3000.0,C23H28ClN5O4S,COc1ccc(Cl)cc1Cn1nc(C(=O)NCCO)cc1-c1sc(NC(=O)C(C)(C)C)nc1C
CHEMBL1097861,EC50,750.0,C27H29N5O2S,Cc1nc(NC(=O)C(C)(C)C)sc1-c1cc(C(=O)NCc2ccccc2)nn1Cc1ccccc1
